from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
2*4|1,2*3*4|1,1,(2*4|1)+(2*3*4|1),(2*4|1)+(2*3*4|1),1,1,0,1.0,1.0,0.0,3.8182e-5
2*4|1,1*2*3*4|1,2,(2*4|1)+(1*2*4|1)+(1*2*3*4|1),(2*4|1)+(1*2*4|1)+(1*2*3*4|1),2,2,0,2.0,2.0,0.0,7.588e-5
2*4|1,5|1,-1,(2*4|1)+(2*4*5|1)-(4*5|1)-(5|1),(2*4|1)-(4|1)-(|1)+(5|1),3,3,0,7.0,7.0,0.0,0.000163797
2*4|1,1*5|1,0,(2*4|1)+(1*2*4|1)+(1*2*4*5|1)-(1*4*5|1)-(1*5|1),(2*4|1)-(4|1)-(|1)+(1|1)+(1*5|1),4,4,0,8.0,8.0,0.0,0.000193026
2*4|1,2*5|1,0,(2*4|1)-(2|1)+(2*5|1),(2*4|1)-(2|1)+(2*5|1),2,2,0,4.0,4.0,0.0,7.3336e-5
2*4|1,1*2*5|1,1,(2*4|1)-(2|1)+(1*2|1)+(1*2*5|1),(2*4|1)-(2|1)+(1*2|1)+(1*2*5|1),3,3,0,5.0,5.0,0.0,0.000101059
2*4|1,3*5|1,0,(2*4|1)+(2*3*4|1)+(2*3*4*5|1)-(3*4*5|1)-(3*5|1),(2*4|1)-(4|1)-(|1)+(3|1)+(3*5|1),4,4,0,8.0,8.0,0.0,0.00020197
2*4|1,1*3*5|1,1,(2*4|1)+(2*3*4|1)+(2*3*4*5|1)-(2*3*5|1)-(3*5|1)+(1*3*5|1),(2*4|1)-(4|1)-(|1)+(1|1)+(1*3|1)+(1*3*5|1),5,5,0,9.0,9.0,0.0,0.000217951
2*4|1,2*3*5|1,1,(2*4|1)+(2*3*4|1)+(2*3*4*5|1)-(2*3*5|1),(2*4|1)-(2|1)+(2*3|1)+(2*3*5|1),3,3,0,5.0,5.0,0.0,0.00011433
2*4|1,1*2*3*5|1,2,(2*4|1)-(2|1)+(1*2|1)+(1*2*3|1)+(1*2*3*5|1),(2*4|1)-(2|1)+(1*2|1)+(1*2*3|1)+(1*2*3*5|1),4,4,0,6.0,6.0,0.0,0.000192582
