from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
1*3|3,2|4,-1,(1*3|3)=(1*3|4)-(1|4)-(|4)+(2|4),(1*3|3)=(1*3|4)-(3|4)-(|4)+(2|4),4,4,0,12.0,12.0,0.0,0.108597758
1*3|3,1*2|4,0,(1*3|3)-(1|3)=(1|4)+(1*2|4),(1*3|3)=(1*3|4)-(1|4)+(1*2|4),3,3,0,9.0,9.0,0.0,0.000225905
1*3|3,3|4,-1,(1*3|3)-(3|3)=(3|4),(1*3|3)=(1*3|4)-(3|4),2,2,0,8.0,8.0,0.0,0.000112441
1*3|3,1*3|4,0,(1*3|3)=(1*3|4),(1*3|3)=(1*3|4),1,1,0,5.0,5.0,0.0,4.5565e-5
1*3|3,2*3|4,0,(1*3|3)-(3|3)=(3|4)+(2*3|4),(1*3|3)=(1*3|4)-(3|4)+(2*3|4),3,3,0,9.0,9.0,0.0,0.000196248
1*3|3,1*2*3|4,1,(1*3|3)+(1*2*3|3)=(1*2*3|4),(1*3|3)=(1*3|4)+(1*2*3|4),2,2,0,6.0,6.0,0.0,0.000110207
1*3|3,4|4,-1,(1*3|3)=(1*3|4)-(1|4)-(|4)+(4|4),(1*3|3)=(1*3|4)-(3|4)-(|4)+(4|4),4,4,0,12.0,12.0,0.0,0.000507149
1*3|3,1*4|4,0,(1*3|3)-(1|3)=(1|4)+(1*4|4),(1*3|3)=(1*3|4)-(1|4)+(1*4|4),3,3,0,9.0,9.0,0.0,0.000195027
1*3|3,2*4|4,0,(1*3|3)+(1*2*3|3)=(1*2*3|4)+(1*2*3*4|4)-(1*2*4|4)-(2*4|4),(1*3|3)=(1*3|4)-(3|4)-(|4)+(2|4)+(2*4|4),5,5,0,13.0,13.0,0.0,0.000464313
1*3|3,1*2*4|4,1,(1*3|3)+(1*2*3|3)+(1*2*3*4|3)-(1*2*4|3)=(1*2*4|4),(1*3|3)=(1*3|4)-(1|4)+(1*2|4)+(1*2*4|4),4,4,0,10.0,10.0,0.0,0.000314723
1*3|3,3*4|4,0,(1*3|3)-(3|3)=(3|4)+(3*4|4),(1*3|3)=(1*3|4)-(3|4)+(3*4|4),3,3,0,9.0,9.0,0.0,0.000191213
1*3|3,1*3*4|4,1,(1*3|3)+(1*3*4|3)=(1*3*4|4),(1*3|3)=(1*3|4)+(1*3*4|4),2,2,0,6.0,6.0,0.0,9.6281e-5
1*3|3,2*3*4|4,1,(1*3|3)=(1*3|4)+(1*2*3|4)+(1*2*3*4|4)-(2*3*4|4),(1*3|3)=(1*3|4)-(3|4)+(2*3|4)+(2*3*4|4),4,4,0,10.0,10.0,0.0,0.000315789
1*3|3,1*2*3*4|4,2,(1*3|3)+(1*2*3|3)=(1*2*3|4)+(1*2*3*4|4),(1*3|3)=(1*3|4)+(1*2*3|4)+(1*2*3*4|4),3,3,0,7.0,7.0,0.0,0.000179349
1*3|3,5|4,-1,(1*3|3)+(1*3*5|3)=(1*3*5|4)+(1*2*3*5|4)>(3*5|4)-(5|4),(1*3|3)=(1*3|4)-(3|4)-(|4)+(5|4),4,5,-1,12.0,10.1,1.9,0.000301558
1*3|3,1*5|4,0,(1*3|3)-(1|3)=(1|4)+(1*5|4),(1*3|3)=(1*3|4)-(1|4)+(1*5|4),3,3,0,9.0,9.0,0.0,0.000178699
1*3|3,3*5|4,0,(1*3|3)-(3|3)=(3|4)+(3*5|4),(1*3|3)=(1*3|4)-(3|4)+(3*5|4),3,3,0,9.0,9.0,0.0,0.000173474
1*3|3,1*3*5|4,1,(1*3|3)+(1*3*5|3)=(1*3*5|4),(1*3|3)=(1*3|4)+(1*3*5|4),2,2,0,6.0,6.0,0.0,9.8047e-5
1*3|3,4*5|4,0,(1*3|3)=(1*3|4)+(1*3*5|4)+(1*2*3*5|4)>(3*5|4)-(5|4)+(4*5|4),(1*3|3)=(1*3|4)-(3|4)-(|4)+(4|4)+(4*5|4),5,6,-1,13.0,11.1,1.9,0.000397461
1*3|3,1*4*5|4,1,(1*3|3)=(1*3|4)+(1*3*4|4)+(1*3*4*5|4)-(1*4*5|4),(1*3|3)=(1*3|4)-(1|4)+(1*4|4)+(1*4*5|4),4,4,0,10.0,10.0,0.0,0.000225928
1*3|3,3*4*5|4,1,(1*3|3)=(1*3|4)+(1*3*4|4)+(1*3*4*5|4)-(3*4*5|4),(1*3|3)=(1*3|4)-(3|4)+(3*4|4)+(3*4*5|4),4,4,0,10.0,10.0,0.0,0.000216907
1*3|3,1*3*4*5|4,2,(1*3|3)+(1*3*4|3)=(1*3*4|4)+(1*3*4*5|4),(1*3|3)=(1*3|4)+(1*3*4|4)+(1*3*4*5|4),3,3,0,7.0,7.0,0.0,0.000183753
1*3|3,|5,-2,(1*3|3)=(1*3|4)=(1*3|5)-(1|5)-(|5),(1*3|3)=(1*3|4)=(1*3|5)-(3|5)-(|5),4,4,0,16.0,16.0,0.0,0.000490036
1*3|3,1|5,-1,(1*3|3)-(1|3)=(1|4)=(1|5),(1*3|3)=(1*3|4)=(1*3|5)-(1|5),3,3,0,13.0,13.0,0.0,0.000138102
1*3|3,2|5,-1,(1*3|3)+(1*2*3|3)=(1*2*3|4)-(1*2|4)-(2|4)=(2|5),(1*3|3)=(1*3|4)=(1*3|5)-(3|5)-(|5)+(2|5),5,5,0,17.0,17.0,0.0,0.000546157
1*3|3,1*2|5,0,(1*3|3)-(1|3)=(1|4)=(1|5)+(1*2|5),(1*3|3)=(1*3|4)=(1*3|5)-(1|5)+(1*2|5),4,4,0,14.0,14.0,0.0,0.00019421
1*3|3,3|5,-1,(1*3|3)-(3|3)=(3|4)=(3|5),(1*3|3)=(1*3|4)=(1*3|5)-(3|5),3,3,0,13.0,13.0,0.0,0.000136285
1*3|3,1*3|5,0,(1*3|3)=(1*3|4)=(1*3|5),(1*3|3)=(1*3|4)=(1*3|5),2,2,0,10.0,10.0,0.0,6.3168e-5
1*3|3,2*3|5,0,(1*3|3)-(3|3)=(3|4)=(3|5)+(2*3|5),(1*3|3)=(1*3|4)=(1*3|5)-(3|5)+(2*3|5),4,4,0,14.0,14.0,0.0,0.000195405
1*3|3,1*2*3|5,1,(1*3|3)+(1*2*3|3)=(1*2*3|4)=(1*2*3|5),(1*3|3)=(1*3|4)=(1*3|5)+(1*2*3|5),3,3,0,11.0,11.0,0.0,0.00013837
