from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
5*10|1,9|1,-1,(5*10|1)+(5*9*10|1)+(5*7*9*10|1)>(5*9|1)-(9|1),(5*10|1)-(10|1)-(|1)+(9|1),3,4,-1,7.0,5.1,1.9,0.00094453
5*10|1,1*9|1,0,(5*10|1)+(5*9*10|1)+(5*7*9*10|1)>(5*9|1)+(1*5*9|1)>(1*9|1),(5*10|1)-(10|1)-(|1)+(1|1)+(1*9|1),4,5,-1,8.0,3.2,4.8,0.001812964
5*10|1,3*9|1,0,(5*10|1)+(3*5*10|1)+(3*5*9*10|1)+(3*5*7*9*10|1)>(3*5*9|1)-(3*9|1),(5*10|1)-(10|1)-(|1)+(3|1)+(3*9|1),4,5,-1,8.0,6.1,1.9,0.001563529
5*10|1,4*9|1,0,(5*10|1)+(4*5*10|1)+(4*5*9*10|1)+(4*5*9*10*11|1)>(4*9*10|1)>(4*9|1),(5*10|1)-(10|1)-(|1)+(4|1)+(4*9|1),4,5,-1,8.0,3.2,4.8,0.001376798
5*10|1,5*9|1,0,(5*10|1)-(5|1)+(5*9|1),(5*10|1)-(5|1)+(5*9|1),2,2,0,4.0,4.0,0.0,0.000313086
5*10|1,4*5*9|1,1,(5*10|1)-(5|1)+(4*5|1)+(4*5*9|1),(5*10|1)-(5|1)+(4*5|1)+(4*5*9|1),3,3,0,5.0,5.0,0.0,0.000515993
5*10|1,10|1,-1,(5*10|1)-(10|1),(5*10|1)-(10|1),1,1,0,3.0,3.0,0.0,0.00019575
5*10|1,1*10|1,0,(5*10|1)-(10|1)+(1*10|1),(5*10|1)-(10|1)+(1*10|1),2,2,0,4.0,4.0,0.0,0.000305186
5*10|1,2*10|1,0,(5*10|1)+(2*5*10|1)>(2*10|1),(5*10|1)-(10|1)+(2*10|1),2,2,0,4.0,1.1,2.9,0.000303608
5*10|1,4*10|1,0,(5*10|1)-(10|1)+(4*10|1),(5*10|1)-(10|1)+(4*10|1),2,2,0,4.0,4.0,0.0,0.000308557
5*10|1,1*7*10|1,1,(5*10|1)+(1*5*10|1)+(1*5*7*10|1)>(1*7*10|1),(5*10|1)-(10|1)+(1*10|1)+(1*7*10|1),3,3,0,5.0,2.1,2.9,0.000414805
